
Активные подключения

  Имя    Локальный адрес        Внешний адрес          Состояние
  TCP    1.1.1.51:3389          1.1.1.154:54697        ESTABLISHED
  TCP    1.1.1.51:52227         40.127.142.76:80       TIME_WAIT
  TCP    1.1.1.51:52228         50.17.243.190:80       TIME_WAIT
  TCP    1.1.1.51:52235         185.33.223.83:80       TIME_WAIT
  TCP    1.1.1.51:52236         185.33.223.83:80       TIME_WAIT
  TCP    1.1.1.51:52239         37.252.172.70:80       ESTABLISHED
  TCP    1.1.1.51:52247         185.33.223.38:80       ESTABLISHED
  TCP    1.1.1.51:52249         205.251.219.41:80      TIME_WAIT
  TCP    1.1.1.51:52256         88.221.132.244:80      ESTABLISHED
  TCP    1.1.1.51:52278         50.17.243.190:80       ESTABLISHED
  TCP    1.1.1.51:52279         50.17.243.190:80       ESTABLISHED
  TCP    1.1.1.51:52280         88.221.132.19:80       ESTABLISHED
  TCP    1.1.1.51:52281         88.221.132.19:80       ESTABLISHED
  TCP    1.1.1.51:52282         88.221.132.19:80       ESTABLISHED
  TCP    1.1.1.51:52283         88.221.132.19:80       ESTABLISHED
  TCP    1.1.1.51:52284         151.101.2.2:443        ESTABLISHED
  TCP    1.1.1.51:52285         204.79.197.200:443     ESTABLISHED
  TCP    1.1.1.51:52286         204.79.197.200:443     ESTABLISHED
  TCP    1.1.1.51:52287         40.127.142.76:80       ESTABLISHED
  TCP    1.1.1.51:52288         40.127.142.76:80       ESTABLISHED
  TCP    1.1.1.51:52289         138.108.96.100:80      ESTABLISHED
  TCP    1.1.1.51:52290         138.108.96.100:80      ESTABLISHED
  TCP    1.1.1.51:52291         185.33.223.83:80       ESTABLISHED
  TCP    1.1.1.51:52292         185.33.223.83:80       ESTABLISHED
  TCP    1.1.1.51:52293         185.33.223.83:80       ESTABLISHED
  TCP    1.1.1.51:52294         1.1.1.117:445          ESTABLISHED
  TCP    1.1.1.51:52296         1.1.1.149:2869         ESTABLISHED
  TCP    1.1.1.51:52300         1.1.5.185:139          ESTABLISHED
  TCP    1.1.1.51:52302         1.1.1.232:3911         TIME_WAIT
  TCP    1.1.1.51:52304         1.1.5.185:139          TIME_WAIT
  TCP    [fe80::b52b:f928:eb98:57db%10]:52295  [fe80::7995:7c92:6a8f:e464%10]:2869  ESTABLISHED
